Source Type,Risk Type,Risk Greek,Underlying,Tenor Swap,Tenor Option,Tenor Swap Order,Tenor Option Order,Market Date,Open,Current,Move,Market Status,Market Data Status
fx/delta,FX,Delta,FAKE_REPLACE_ME - EUR/USD,Spot,N/A,,,2026-08-11,1.123625,1.121125,-0.0025,OFFICIAL,Available
fx/delta,FX,Delta,FAKE_REPLACE_ME - USD/JPY,Spot,N/A,,,2026-08-11,1.096437,1.097507,0.00107,OFFICIAL,Available
fx/delta,FX,Delta,FAKE_REPLACE_ME - GBP/USD,Spot,N/A,,,2026-08-11,1.117066,1.116086,-0.00098,OFFICIAL,Available
fx/gamma,FX,Gamma,FAKE_REPLACE_ME - EUR/USD,N/A,N/A,,,2026-08-11,0.905582,0.907832,0.00225,OFFICIAL,Available
fx/gamma,FX,Gamma,FAKE_REPLACE_ME - USD/JPY,N/A,N/A,,,2026-08-11,0.973937,0.972497,-0.00144,OFFICIAL,Available
fx/gamma,FX,Gamma,FAKE_REPLACE_ME - GBP/USD,N/A,N/A,,,2026-08-11,0.911924,0.912964,0.00104,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 1M,N/A,0,,2026-08-11,0.204941,0.194931,-0.01001,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 3M,N/A,1,,2026-08-11,0.077804,0.085384,0.00758,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 6M,N/A,2,,2026-08-11,0.212678,0.207938,-0.00474,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 1Y,N/A,3,,2026-08-11,0.302567,0.308737,0.00617,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 1M,N/A,0,,2026-08-11,0.34424,0.35132,0.00708,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 3M,N/A,1,,2026-08-11,0.149333,0.149563,0.00023,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 6M,N/A,2,,2026-08-11,0.342395,0.344625,0.00223,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 1Y,N/A,3,,2026-08-11,0.251207,0.238817,-0.01239,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 1M,N/A,0,,2026-08-11,0.238409,0.244959,0.00655,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 3M,N/A,1,,2026-08-11,0.076202,0.074962,-0.00124,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 6M,N/A,2,,2026-08-11,0.076367,0.083157,0.00679,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 1Y,N/A,3,,2026-08-11,0.099734,0.096314,-0.00342,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 6M,N/A,0,,2026-08-11,0.05937,0.05929,-0.00008,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 1Y,N/A,1,,2026-08-11,0.040807,0.039597,-0.00121,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 2Y,N/A,2,,2026-08-11,0.016787,0.016167,-0.00062,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 5Y,N/A,3,,2026-08-11,0.019458,0.018028,-0.00143,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 10Y,N/A,4,,2026-08-11,0.023583,0.022583,-0.001,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 30Y,N/A,5,,2026-08-11,0.013276,0.013126,-0.00015,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 6M,N/A,0,,2026-08-11,0.063086,0.063626,0.00054,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 1Y,N/A,1,,2026-08-11,0.023937,0.024617,0.00068,OFFICIAL,Available
ir/delta,IR,Delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 2Y,N/A,2,,2026-08-11,0.029047,0.029427,0.00038,OFFICIAL,Available
