Source Type,Risk Type,Risk Greek,Underlying,Tenor Swap,Tenor Option,Tenor Swap Order,Tenor Option Order,Market Date,Open,Current,Move,Market Status,Market Data Status
fx/delta,FX,Delta,FAKE_REPLACE_ME - EUR/USD,Spot,N/A,,,2026-08-12,1.123625,1.121225,-0.0024,OFFICIAL,Available
fx/delta,FX,Delta,FAKE_REPLACE_ME - USD/JPY,Spot,N/A,,,2026-08-12,1.096437,1.097517,0.00108,OFFICIAL,Available
fx/delta,FX,Delta,FAKE_REPLACE_ME - GBP/USD,Spot,N/A,,,2026-08-12,1.117066,1.116146,-0.00092,OFFICIAL,Available
fx/gamma,FX,Gamma,FAKE_REPLACE_ME - EUR/USD,N/A,N/A,,,2026-08-12,0.905582,0.907882,0.0023,OFFICIAL,Available
fx/gamma,FX,Gamma,FAKE_REPLACE_ME - USD/JPY,N/A,N/A,,,2026-08-12,0.973937,0.972577,-0.00136,OFFICIAL,Available
fx/gamma,FX,Gamma,FAKE_REPLACE_ME - GBP/USD,N/A,N/A,,,2026-08-12,0.911924,0.913084,0.00116,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 1M,N/A,0,,2026-08-12,0.204941,0.195101,-0.00984,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 3M,N/A,1,,2026-08-12,0.077804,0.085524,0.00772,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 6M,N/A,2,,2026-08-12,0.212678,0.208018,-0.00466,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 1Y,N/A,3,,2026-08-12,0.302567,0.308847,0.00628,OFFICIAL,Available
fx/vega,FX,Vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 1M,N/A,0,,2026-08-12,0.34424,0.35146,0.00722,OFFICIAL,Available
